the_geom,sci_name,entity_id,field_bird_illustration_fid,img_url,cartodb_id,com_name,page_url,img_width,img_height,com_name2
,Psaltriparus minimus,828,17046,3436_Sibl_9780307957900_art_r1.jpg,390,Bushtit,http://www.audubon.org/node/828,2518,1686,Bushtit
,Poecile carolinensis,822,17051,3445_Sibl_9780307957900_art_r1.jpg,391,Carolina Chickadee,http://www.audubon.org/node/822,1858,1686,Carolina Chickadee
,Poecile gambeli,823,17056,3450_Sibl_9780307957900_art_r1.jpg,392,Mountain Chickadee,http://www.audubon.org/node/823,1942,1686,Mountain Chickadee
,Auriparus flaviceps,827,17061,4455_Sibl_9780307957900_art_r1.jpg,393,Verdin,http://www.audubon.org/node/827,2488,1686,Verdin
,Baeolophus atricristatus,707,17066,4459_Sibl_9780307957900_art_r1.jpg,394,Black-crested Titmouse,http://www.audubon.org/node/707,1793,1686,Black-crested Titmouse
,Baeolophus bicolor,816,17071,4464_Sibl_9780307957900_art_r1.jpg,395,Tufted Titmouse,http://www.audubon.org/node/816,1658,1686,Tufted Titmouse
,Melanerpes uropygialis,856,17076,4468_Sibl_9780307957900_art_r1.jpg,396,Gila Woodpecker,http://www.audubon.org/node/856,1118,1686,Gila Woodpecker
,Sayornis nigricans,762,17081,4474_Sibl_9780307957900_art_r1.jpg,397,Black Phoebe,http://www.audubon.org/node/762,1685,1686,Black Phoebe
,Sayornis phoebe,763,17086,4479_Sibl_9780307957900_art_r1.jpg,398,Eastern Phoebe,http://www.audubon.org/node/763,1958,1686,Eastern Phoebe
,Contopus virens,546,17091,4486_Sibl_9780307957900_art_r1.jpg,399,Eastern Wood-Pewee,http://www.audubon.org/node/546,1464,1686,Eastern Wood-Pewee
,Contopus sordidulus,535,17096,4483_Sibl_9780307957900_art_r1.jpg,400,Western Wood-Pewee,http://www.audubon.org/node/535,1224,1686,Western Wood-Pewee
,Empidonax virescens,666,17101,4492_Sibl_9780307957900_art_r1.jpg,401,Acadian Flycatcher,http://www.audubon.org/node/666,1596,1686,Acadian Flycatcher
,Empidonax difficilis,568,17111,4505_Sibl_9780307957900_art_r1.jpg,402,Pacific-slope Flycatcher,http://www.audubon.org/node/568,1643,1686,Pacific-slope Flycatcher
,Empidonax occidentalis,635,17116,4506_Sibl_9780307957900_art_r1.jpg,403,Cordilleran Flycatcher,http://www.audubon.org/node/635,1789,1686,Cordilleran Flycatcher
,Empidonax fulvifrons,591,17121,4517_Sibl_9780307957900_art_r1.jpg,404,Buff-breasted Flycatcher,http://www.audubon.org/node/591,1889,1686,Buff-breasted Flycatcher
,Empidonax wrightii,677,17126,4512_Sibl_9780307957900_art_r1.jpg,405,Gray Flycatcher,http://www.audubon.org/node/677,1644,1686,Gray Flycatcher
,Cinclus mexicanus,478,17131,4524_Sibl_9780307957900_art_r1.jpg,406,American Dipper,http://www.audubon.org/node/478,1883,1686,American Dipper
,Chamaea fasciata,505,17136,4528_Sibl_9780307957900_art_r1.jpg,407,Wrentit,http://www.audubon.org/node/505,1896,1686,Wrentit
